Company Name,Excel Company ID,Year,Total Revenue,Gross Profit,EBITDA,EBIT,Net Income,Cash And Equivalents,Total Cash and ST Investments,Net Property,Total Assets,Total Debt,Total Equity,Capital Expenditure,Dividends per share
1010 Printing Group Limited (SEHK:1127),IQ136804909,2006,,,,,,,,,,,,,
361 Degrees International Limited (SEHK:1361),IQ60184932,2006,,,,,,2.33,7.25,3.82,53.3,8.51,14.2,0.451,0
3Cnergy Limited (Catalist:502),IQ79611391,2006,50.2,12.6,4.76,3.56,3.51,,,,,,,,
3SBio Inc. (SEHK:1530),IQ24164591,2006,64.5,14,11.7,11.4,8.35,4.98,4.98,8.47,28,8.61,14.5,0.525,0
800 Super Holdings Limited (Catalist:5TG),IQ137292017,2006,19.1,3.45,4.24,2.22,1.28,,,,,,,,
8Telecom International Holdings Co. Ltd. (SGX:AZG),IQ10902975,2006,,,,,,22.7,22.7,23.2,103.9,12.8,51.1,11.3,0.007
A-Sonic Aerospace Limited (SGX:AWQ),IQ8292720,2006,135.4,53.1,11.6,8.16,4.04,32.3,35.6,5.64,190.7,34.2,96,0.201,0.011
A8 New Media Group Limited (SEHK:800),IQ45043531,2006,33.8,2.43,-5.52,-5.64,-2.27,24.2,24.2,1.88,45.3,0,37.9,0.662,0
AA Group Holdings Ltd. (Catalist:5GZ),IQ23019599,2006,32.2,9.86,3.81,1.46,0.877,1.67,1.68,17,30.9,11.7,15.5,2.67,0.01
AAC Technologies Holdings Inc. (SEHK:2018),IQ23246399,2006,,,,,,194.2,194.2,121.5,499.3,4.16,417.3,71.3,0
AAG Energy Holdings Limited (SEHK:2686),IQ290858658,2006,38.9,12.4,6.98,6.87,6.13,,,,,,,,
ABC Communications (Holdings) Limited (SEHK:30),IQ878339,2006,188,100.4,11.3,1.73,-2.65,19,20.9,0.542,82.7,14.8,66.2,0.116,0.012
abc Multiactive Limited (SEHK:8131),IQ7602691,2006,12.8,8.91,3,-1.03,-22.8,0.61,0.61,0.141,1.25,5.52,-5.89,0.113,0
ABF Hong Kong Bond Index Fund (SEHK:2819),IQ100846081,2006,348.3,24.7,14.4,11.5,7.23,,,,,,,,
ABF Pan Asia Bond Index Fund (SEHK:2821),IQ33833176,2006,24,8.65,3.08,2.86,3.62,4.06,4.06,0,1937.3,0,1896.3,0,6.7
ABF Singapore Bond Index Fund (SGX:A35),IQ59448492,2006,66.6,17.1,11.2,9.15,6.19,,,,,,,,
ABR Holdings Limited (SGX:533),IQ4492730,2006,38.4,8.35,-0.84,-1.88,-0.491,7.41,25.2,27.1,88.3,11.4,51.2,3.61,0.01
Abterra Ltd. (SGX:L5I),IQ8081418,2006,25.6,7.35,-0.011,-0.359,-0.769,2,2.07,1.55,5.34,0.988,0.979,0.106,0
Abundance International Limited (Catalist:541),IQ7646669,2006,73.1,6.21,8.52,6.52,5.44,0.172,0.285,21,39,13.5,17.7,1.88,0.003
